,judul,link
30,"Survei Poltracking: di Jatim Elektabilitas Prabowo 40,6 persen, Ganjar 38,2 persen, dan Anies  13,6 persen",https://nasional.kompas.com/read/2023/10/11/14114931/survei-poltracking-di-jatim-elektabilitas-prabowo-406-persen-ganjar-382
31,Menilik Upaya dan Inovasi BPJS Kesehatan dalam Mencapai UHC di Indonesia,https://biz.kompas.com/read/2023/10/11/141119628/menilik-upaya-dan-inovasi-bpjs-kesehatan-dalam-mencapai-uhc-di-indonesia
32,Cak Imin Sebut Bakal Mendaftar ke KPU pada 19 Oktober bersama Partai Pengusung,https://yogyakarta.kompas.com/read/2023/10/11/141107978/cak-imin-sebut-bakal-mendaftar-ke-kpu-pada-19-oktober-bersama-partai
33,"Hati-hati Serangan Malware, Ini Ciri-ciri dan Kiat Mengatasinya ",https://money.kompas.com/read/2023/10/11/141100826/hati-hati-serangan-malware-ini-ciri-ciri-dan-kiat-mengatasinya-
34,"Didukung Relawan Maju Jadi Cawapres, Wali Kota hingga Gubernur, Gibran: Santai Saja ",https://regional.kompas.com/read/2023/10/11/140936678/didukung-relawan-maju-jadi-cawapres-wali-kota-hingga-gubernur-gibran-santai
35,Pria di Toba Tewas Tersetrum saat Cek Perbaikan Mesin Pertamini,https://medan.kompas.com/read/2023/10/11/140930878/pria-di-toba-tewas-tersetrum-saat-cek-perbaikan-mesin-pertamini
36,Rangkuman Hari Ke-594 Serangan Rusia ke Ukraina: Zelensky Cemaskan Perang Hamas-Israel | Rusia Gagal Gabung Dewan HAM PBB,https://www.kompas.com/global/read/2023/10/11/140759670/rangkuman-hari-ke-594-serangan-rusia-ke-ukraina-zelensky-cemaskan-perang
37,"Ketika Susi Pudjiastuti ""Tak Terima"" Diteriaki Cawapres Saat Kunjungan Prabowo",https://bandung.kompas.com/read/2023/10/11/140748378/ketika-susi-pudjiastuti-tak-terima-diteriaki-cawapres-saat-kunjungan-prabowo
38,3 Cara Mudah Kasih Obat ke Kucing Tanpa Membuat Takut,https://lifestyle.kompas.com/read/2023/10/11/140731920/3-cara-mudah-kasih-obat-ke-kucing-tanpa-membuat-takut
39,"Rumah Warga Depok Dibobol Maling Saat Ditinggal Pulang Kampung, Mas Kawin dan Tabungan Anak Raib",https://megapolitan.kompas.com/read/2023/10/11/14033601/rumah-warga-depok-dibobol-maling-saat-ditinggal-pulang-kampung-mas-kawin
40,Kurs Rupiah Tembus Rp 15.700 Berdampak ke Inflasi? Ini Kata Airlangga,https://money.kompas.com/read/2023/10/11/140328326/kurs-rupiah-tembus-rp-15700-berdampak-ke-inflasi-ini-kata-airlangga
41,Makanan Khas Banten Hadir di Restoran Hotel di Cilegon Ini,https://www.kompas.com/food/read/2023/10/11/140300875/makanan-khas-banten-hadir-di-restoran-hotel-di-cilegon-ini
42,"Hotwav Note 13 Pro Meluncur, HP Android Mirip iPhone 15 Pro, Harga Sejutaan",https://tekno.kompas.com/read/2023/10/11/14020077/hotwav-note-13-pro-meluncur-hp-android-mirip-iphone-15-pro-harga-sejutaan
43,"""Saatnya Aku Bahagia"", Lagu yang Emosional bagi Ria Ricis",https://www.kompas.com/hype/read/2023/10/11/140140966/saatnya-aku-bahagia-lagu-yang-emosional-bagi-ria-ricis
44,"Jelang MotoGP Mandalika, Semua Keluhan Tahun Lalu Diklaim Teratasi",https://otomotif.kompas.com/read/2023/10/11/140100315/jelang-motogp-mandalika-semua-keluhan-tahun-lalu-diklaim-teratasi
45,Indonesia Berpeluang Ajukan Penawaran Tuan Rumah Piala Dunia 2034,https://bola.kompas.com/read/2023/10/11/14005968/indonesia-berpeluang-ajukan-penawaran-tuan-rumah-piala-dunia-2034
46,"Ada Kandungan Sianida dalam Biji Apel, Amankah Jika Tertelan?",https://www.kompas.com/sains/read/2023/10/11/140000223/ada-kandungan-sianida-dalam-biji-apel-amankah-jika-tertelan-
47,"Berdayakan Petani Swadaya, Musim Mas Komitmen Keberlanjutan Industri Kelapa Sawit",https://lestari.kompas.com/read/2023/10/11/140000486/berdayakan-petani-swadaya-musim-mas-komitmen-keberlanjutan-industri-kelapa
48,"Mal Baru Dibuka di India Diserbu Pengunjung, Makanan Diambil Tanpa Membayar",https://www.kompas.com/tren/read/2023/10/11/140000065/mal-baru-dibuka-di-india-diserbu-pengunjung-makanan-diambil-tanpa-membayar
49,"Jawaban dari Soal ""Untuk Meningkatkan Penjualan Suatu Perusahaan""",https://www.kompas.com/skola/read/2023/10/11/140000569/jawaban-dari-soal-untuk-meningkatkan-penjualan-suatu-perusahaan-
50,Latar Belakang Pembantaian Banda 1621,https://www.kompas.com/stori/read/2023/10/11/140000479/latar-belakang-pembantaian-banda-1621
51,"Cak Imin: Saya Sibuk Keliling ke Kiai dan Pesantren, Jelaskan Mas Anies Bukan Radikal",https://nasional.kompas.com/read/2023/10/11/13555791/cak-imin-saya-sibuk-keliling-ke-kiai-dan-pesantren-jelaskan-mas-anies-bukan
52,Lirik dan Chord Lagu Life Lesson - Jon Batiste feat. Lana Del Rey,https://www.kompas.com/hype/read/2023/10/11/135500366/lirik-dan-chord-lagu-life-lesson-jon-batiste-feat.-lana-del-rey
53,Lirik dan Chord Lagu Heartbreaker dari Birdy,https://www.kompas.com/hype/read/2023/10/11/135000366/lirik-dan-chord-lagu-heartbreaker-dari-birdy
54,5 Cara Sukses Memulai Bisnis Servis Elektronik,https://umkm.kompas.com/read/2023/10/11/134946983/5-cara-sukses-memulai-bisnis-servis-elektronik
55,"Yadi Sembako Tiba di Polres Metro Tangerang, Jalani Pemeriksaan Kasus Dugaan Penipuan",https://www.kompas.com/hype/read/2023/10/11/134939466/yadi-sembako-tiba-di-polres-metro-tangerang-jalani-pemeriksaan-kasus-dugaan
56,"Seorang Pengendara Motor Ditemukan Tewas di Ciputat, Diduga Terlindas Truk",https://megapolitan.kompas.com/read/2023/10/11/13491271/seorang-pengendara-motor-ditemukan-tewas-di-ciputat-diduga-terlindas-truk
57,Polri Ungkap Ada 12 Wilayah Polda Jadi Prioritas Pertama karena Rawan pada Pemilu 2024,https://nasional.kompas.com/read/2023/10/11/13473981/polri-ungkap-ada-12-wilayah-polda-jadi-prioritas-pertama-karena-rawan-pada
58,RPP PDP: Independensi dan Peran Strategis DPO bagi Korporasi,https://money.kompas.com/read/2023/10/11/134721026/rpp-pdp-independensi-dan-peran-strategis-dpo-bagi-korporasi
59,"Tanggapi Vonis 2 Tahun Samanhudi, Wali Kota Blitar: Sudah Adil atau Tidak?",https://surabaya.kompas.com/read/2023/10/11/134630578/tanggapi-vonis-2-tahun-samanhudi-wali-kota-blitar-sudah-adil-atau-tidak
